year,total
1970,2.2
1971,2.3
1972,2.4
1973,2.5
1974,2.7
1975,2.5
1976,2.7
1977,2.8
1978,2.8
1979,2.9
1980,2.9
1981,2.8
1982,3.0
1983,3.3
1984,3.6
1985,3.8
1986,4.0
1987,4.2
1988,4.5
1989,4.7
1990,5.9
1991,6.3
1992,7.1
1993,7.6
1994,7.1
1995,7.0
1996,8.1
1997,7.3
1998,7.8
1999,7.7
2000,8.2
2001,8.1
2002,8.3
2003,8.4
2004,8.6
2005,9.2
2006,9.5
2007,9.4
2008,9.5
2009,9.8
2010,10.3
2011,10.6
2012,10.7
2013,10.0
2014,10.7
2015,10.7
2016,11.1
2017,11.3
