year,total
1970,1.8
1971,1.8
1972,1.8
1973,1.7
1974,1.7
1975,1.7
1976,1.9
1977,1.8
1978,1.7
1979,1.6
1980,1.8
1981,1.8
1982,1.7
1983,1.3
1984,1.4
1985,1.7
1986,1.5
1987,1.4
1988,1.5
1989,1.4
1990,1.3
1991,1.8
1992,1.6
1993,1.7
1994,1.7
1995,1.7
1996,1.8
1997,1.9
1998,1.7
1999,1.8
2000,2.4
2001,1.9
2002,2.2
2003,2.5
2004,2.9
2005,3.1
2006,2.5
2007,2.4
2008,2.6
2009,2.8
2010,2.4
2011,2.5
2012,2.3
2013,2.5
2014,2.6
2015,2.6
2016,2.8
2017,2.7
