year,total
1970,1.3
1971,1.5
1972,1.6
1973,1.7
1974,1.8
1975,1.9
1976,2.2
1977,2.5
1978,2.7
1979,2.9
1980,2.8
1981,2.9
1982,3.0
1983,3.5
1984,3.6
1985,3.6
1986,3.8
1987,3.6
1988,3.6
1989,3.6
1990,3.7
1991,3.7
1992,3.7
1993,3.7
1994,4.1
1995,3.8
1996,3.9
1997,4.0
1998,3.9
1999,4.1
2000,4.1
2001,4.0
2002,4.1
2003,4.2
2004,4.2
2005,4.0
2006,4.1
2007,3.9
2008,3.7
2009,3.6
2010,3.9
2011,4.0
2012,3.8
2013,3.8
2014,4.0
2015,4.0
2016,4.0
2017,4.0
