year,total
1970,1.5
1971,1.6
1972,1.6
1973,1.8
1974,1.8
1975,2.0
1976,2.2
1977,2.3
1978,2.4
1979,2.6
1980,2.9
1981,3.2
1982,3.5
1983,3.6
1984,4.2
1985,4.5
1986,4.8
1987,5.3
1988,6.2
1989,6.0
1990,5.6
1991,5.3
1992,5.8
1993,5.6
1994,6.7
1995,6.9
1996,7.0
1997,7.2
1998,7.1
1999,8.3
2000,8.1
2001,7.4
2002,7.4
2003,7.9
2004,8.0
2005,8.1
2006,8.0
2007,8.3
2008,8.7
2009,8.7
2010,8.4
2011,8.6
2012,8.9
2013,9.4
2014,9.2
2015,10.0
2016,10.1
2017,9.5
